"","iso_alpha_3_code","YR1985","YR1986","YR1987","YR1988","YR1989","YR1990","YR1991","YR1992","YR1993","YR1994","YR1995","YR1996","YR1997","YR1998","YR1999","YR2000","YR2001","YR2002","YR2003","YR2004","YR2005","YR2006","YR2007","YR2008","YR2009","YR2010","YR2011","YR2012","YR2013","YR2014","YR2015","YR2016","YR2017","YR2018","YR2019","YR2020","YR2021","YR2022","YR2023"
"25","BMU",69175.9884441766,73165.3436586258,75296.2499865041,77681.7030421644,77371.4167831548,76753.6357784474,74423.4864732094,74919.7809546652,76761.1338016004,76687.6753043515,79490.4281990604,81038.0650871307,84250.1908557799,86895.3328365327,89333.3740878779,96791.2137810373,102667.765662685,100494.564540681,103244.368442608,104953.136389998,106021.643172871,111259.401275182,114334.405668772,111539.180692985,104681.049830257,102863.406565517,99872.2921449124,94232.2413952935,93675.1989069033,90018.4881208152,90578.9418117035,90935.7043650768,95224.3251240792,94745.4426596128,95046.0254291862,88567.0939916842,93555.5174506069,99836.8054426266,5260.65698181457
"26","BOL",5128.71576533784,4892.24398249205,4907.826059056,4944.73988240575,5025.01557693399,5149.00339290039,5308.93117883032,5287.21921001358,5403.28636302456,5545.77443276264,5695.83912167853,5834.21646266584,6011.70160704694,6200.28853904641,6114.51193484376,6155.80697143782,6149.65197439336,6193.10482645628,6250.90339429431,6399.50039351123,6567.64163149633,6763.48658456261,6949.49509173265,7250.28113241161,7366.39122764101,7541.36773913648,7801.82197888863,8066.86519740122,8475.83876007692,8796.49559521951,9079.79015096381,9321.59170111635,9566.12532714447,9822.95640539132,9895.42007535483,8910.58780838611,9342.97184427306,9565.3157259827,9668.95710190816
"27","BRA",12552.1265896771,13215.9319934838,13411.3423234892,13146.059954938,13309.5458778574,12502.2479633803,12414.6451774964,12144.0084196426,12537.7855764253,13062.2356072613,13402.9104686685,13490.9008657806,13741.2033539879,13586.6914336684,13457.7746659903,13857.5931444346,13865.8590523631,14109.9318350184,14102.6954624345,14746.0296795594,15049.1448632499,15477.7387914319,16248.6586360958,16908.6340056308,16727.1640639524,17818.2462278421,18355.1805955181,18540.1373130215,18932.1233623612,18865.0061826586,18042.8093773062,17310.7362793512,17401.3227717581,17571.6710186094,17650.4413769944,16958.8963475485,17672.9168034655,18122.5746319169,18554.1053421197
"28","BRB",13428.4372884399,14088.7735478848,14437.9388573868,14937.8065829988,15475.747040617,14957.571519032,14344.6496299212,13485.9666416444,13552.139987533,13786.7693168656,14032.7457236391,14563.5489460801,15228.8995467884,15771.6583105461,15792.8105101045,16464.7937307222,16031.7106187459,16092.5741820014,16378.4923041264,16547.4598244874,17139.9402390073,18116.6949509201,18423.9502791362,18459.664369506,17459.4621797533,17015.0873034647,16836.1661332882,16750.99296901,16491.0766779694,16444.1648414709,16807.0243761905,17201.043212491,17256.2686757641,17096.7959489507,17131.609339832,14955.9787915752,14752.3736972313,16715.2632361986,17447.9035851883
"29","BRN",109151.695544785,102631.720543949,101215.708167801,98987.9787396657,94802.7606086563,92869.3305704467,92975.3602174094,94746.7859800151,92599.6675577042,93149.4753000645,94990.9677322277,95459.4021817132,91947.3018460532,89452.5964308977,90239.9286562536,90898.742807973,91523.2507775132,93229.8717731371,94153.6704864822,92944.1712766428,91712.6135128198,94181.5648697619,92847.7960187329,89668.9235870353,86790.5842356903,87755.2440701818,89805.4831731245,89482.4035070744,86501.8834918729,83329.4105378995,82060.8167313485,79171.3372214467,79424.8481491793,78734.757368384,81076.5071129486,81313.0226214412,79364.0945618203,77440.7789811532,77919.2203014129
"30","BTN",2307.01449466247,2494.54894083732,3126.16176782991,3182.18224946674,3321.09608008002,3572.49593335108,3499.84063318671,3806.81788141025,4069.58060920728,4267.62826969315,4515.1624879166,4678.13261730203,4845.0562304959,5036.92830002019,5307.17297334098,5333.74561844816,5572.52805139595,5997.28945877021,6305.58528628673,6474.04712127149,6783.8823440419,7060.77306964015,8097.42022210721,8364.50636657112,8903.34924923898,9854.97088104115,10556.7500465153,10974.4516752461,11037.9275348552,11550.7158797469,12194.866392702,13104.9280965233,13450.4957202057,13812.3671108891,14505.2136796858,12937.9302731022,13423.4288725475,14033.6182889069,14502.9588284537
"31","BWA",6912.79700464688,7220.58771563633,7806.4726561198,9022.36622743405,9884.04413224318,10240.3397670429,10692.4052346887,10693.6214974496,10588.7158075975,10671.5894634715,11125.2071386879,11487.0244647571,12157.6850334669,11943.5613499924,12820.5085974069,12807.1165645177,12584.5631722793,13101.5156104559,13469.4743805201,13594.1620710417,13960.372244583,14846.4377559418,15400.8138090529,15582.0688871139,13105.9912416964,14138.2022225047,14805.1246713942,14498.6328111097,15804.3309506264,16385.8548816351,15287.9530632863,16060.2046199274,16376.9029238166,16717.7629580941,16891.9071536038,15134.7043992031,16663.8685441919,17298.2192333501,17471.3419555019
"32","CAF",1667.35068290672,1706.58322274353,1602.47056202816,1604.33400388122,1595.89257762653,1514.30735195897,1459.78012176977,1323.23132151789,1285.79859531038,1307.0421695202,1363.15158784403,1274.82911161895,1305.55834774989,1329.78184283939,1339.8535069071,1270.41961494024,1297.59205186814,1315.14555744563,1214.44031283393,1259.62467038304,1242.76859229898,1276.13279485359,1310.15277315914,1309.6295364009,1391.77466042734,1426.37396764568,1463.60567736601,1524.27445096133,963.681409439545,965.205101137417,1002.76276464209,1032.22492980257,1058.96908809563,1077.94814711947,1086.92756094107,1069.26742736487,1057.19439503026,1039.27066886517,1018.52649855231
"33","CAN",37538.0921645857,37955.2834018965,38983.5580643432,40178.7008979537,40386.6553273728,39863.0660385958,38547.4652657194,38433.0912733363,39023.3258286354,40332.8762087397,40988.3989180628,41247.253308077,42587.366207601,43879.5681195652,45761.9298921855,47667.4330856329,48036.6266178082,48943.5412414992,49381.5950355437,50436.294842704,51564.8455651212,52391.3792619498,52948.8994271698,52899.4754504882,50772.8699217538,51763.6758102969,52869.3878559359,53217.7135831819,53884.8455875649,54880.8582018562,54819.1890353874,54765.3037720868,55756.2624817832,56470.4592673931,56713.0888767094,53274.9109302286,55781.6990272912,56872.6053482353,55817.8974279144
"34","CHE",57994.7221358472,58766.0204788189,59323.9472635762,60819.709781052,62942.7088216807,64588.9540954169,63202.5587059156,62482.2270918315,61837.7714274059,62125.7415213421,62008.7272250639,62026.4249119554,63276.4330085687,65000.263164185,65766.6201250798,67987.0046680939,68622.6489324221,68055.6334150035,67530.6977410514,68880.0502599963,70322.1137674308,72728.9237361536,74904.8436936429,76035.8699755876,73366.586005228,74961.3101182379,75476.5490894835,75560.0235898239,76034.8130644133,76877.8061663728,77257.6823334422,77999.457811489,78328.089934291,79977.3072306586,80315.6830344552,78023.3462830438,81603.2073073193,83019.8400472927,82914.2887321232
"35","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8302.78048155106
"36","CHL",8817.45461747774,9151.96731758229,9591.26162728601,10131.8864757432,10958.9693745636,11142.4574285939,11818.0180680152,12927.6554263261,13566.7216453526,14036.2917558224,15071.5859316865,15878.0676419224,16828.5806173848,17313.0197736803,17061.2442112993,17704.8552477466,18060.7115978167,18437.4780366003,19107.0473063406,20180.1640612655,21150.3290936575,22211.2277235966,23131.2172913767,23768.6675994588,23262.7989111473,24376.8410184477,25638.5953285137,26952.7626493304,27577.0964750648,27790.2475257593,28097.5405168588,28252.1606786318,28191.9083006951,28794.9552599587,28463.1402719669,26353.4868038855,29050.0807938778,29480.955184558,29506.5351824219
"37","CHN",1213.00918320991,1302.06144539586,1430.7202695381,1565.86855783625,1606.90776760151,1645.57894422679,1773.63941146097,2001.25427432785,2253.05201995372,2518.15488829059,2763.79976168459,3006.36270788632,3250.61457325231,3472.17856130428,3705.97720676034,3989.06189555851,4290.30208092921,4650.89682139111,5085.97783096768,5567.19061247801,6165.18344017524,6910.75785854773,7853.09639538115,8566.96485435217,9325.65077925533,10267.8056684447,11187.1660995211,11985.3171249131,12830.3699705085,13696.5174948492,14575.9347897624,15485.2130054608,16461.069929896,17490.1667301804,18465.298945245,18833.7847033116,20406.7296584605,21019.4572309305,22135.432455881
"38","CIV",6067.67679202752,6055.55193566008,5834.06006434287,5697.49269182752,5650.67384864863,5378.72301528595,5181.36631340791,4979.85759834362,4791.81190598598,4660.6445495985,4819.06829117536,5012.35678501742,5308.01581216482,5351.64482179435,5252.81856118484,5097.35031779331,4858.62374948501,4608.78917153059,4286.14345022959,4320.47990062359,4265.68476395459,4289.94048224458,4244.47502230442,4353.72220689937,4416.07888813412,4619.68300400567,4281.79913570497,4514.34035265045,4898.05039084917,5234.49067985812,5468.1525838592,5711.067664891,5977.68664642192,6108.39525051154,6356.02047629595,6241.92860995826,6520.73116025072,6758.36823235772,7022.41597630824
"39","CMR",5878.94733032729,6085.58722595233,5771.6362166041,5159.0576806924,4914.63489804151,4476.77832002366,4179.32974144971,3932.60903004826,3516.81697492279,3481.85477688384,3484.24281625007,3533.83041680063,3596.88151613956,3668.58932816151,3733.83016632869,3776.06451816357,3837.22463667547,3903.01650503714,4005.04651042428,4171.28515492417,4149.26267960574,4191.79235607319,4253.26685609706,4252.02994439413,4239.28992516049,4239.56898868267,4260.48476147606,4333.84356272546,4424.1006151836,4537.3090446705,4645.8776581317,4713.43952903079,4743.99263954056,4797.21052194382,4828.06729315181,4711.1105293075,4741.76177028658,4785.68319705185,4849.49485319657
"40","COD",2595.98323863493,2639.17350843543,2627.99232064279,2559.18931733376,2448.73130459605,2214.03967102918,1961.7824982575,1703.69291104194,1427.71866040146,1308.2103712084,1263.38348619056,1226.849491028,1139.76284670708,1095.02943410643,1018.71100624681,921.213289791396,875.041691295552,873.713981222222,895.686717032146,927.961913872825,954.682839470521,973.940208628631,1002.1553952873,1031.02490223374,1027.12286271089,1064.98425601437,1100.68062525449,1139.77700762933,1195.01036757221,1263.8690345456,1306.24762931446,1292.02264456923,1294.82172240946,1326.07664674926,1340.80891106108,1320.79479820446,1358.2047169909,1432.8561077019,1506.04566749651
"41","COG",10203.4344666988,9224.65429723864,8972.7506307669,8869.12103920404,8841.3682529999,8681.74802966767,8645.99676558328,8631.52227176823,8305.75696941293,7628.80608954155,7721.40990335565,7840.31056631193,7632.94608026859,7750.73946954468,7351.6315163445,7612.40901705562,7610.31224079675,7774.89755172114,7624.14259015984,7625.65658764137,7926.6277907881,8244.32639117011,7420.75628132504,7631.65688204762,8184.30956711473,8630.86736970309,8539.67544890651,9132.07155314383,8851.40252001947,9216.71245166358,9036.5520501248,8056.91919391307,7426.44030152514,7083.66888248778,6996.58109534,6406.88107790181,6323.71757921482,6272.3274353369,6249.11807461705
"42","COK",10033.4945730925,11005.1154583288,10854.7725156081,10934.9387558738,11306.920877504,12069.2899078116,12788.8208405461,13427.0984767728,13854.7208322679,14317.7496805863,13620.430949905,13526.9229375219,13383.9110571522,13702.8460804545,14579.0230470696,17260.4199151357,18695.7274301222,19647.0579887276,20411.2350583264,20789.9648821409,20479.6160381977,21399.7956062504,21381.7099373559,20474.565144434,19820.5609403759,18286.4522919066,17931.8018861,17848.5521227197,17981.8966053803,19031.6090213982,20225.0944484511,21358.4138366738,23781.2786282037,25810.971404757,27826.753600632,21413.0033182399,18345.4784695253,24291.8364681068,24685.1016199182
"43","COL",8999.8194020346,9322.48488330367,9616.6288779111,9798.17695021959,9921.17770504936,10130.752514159,10125.0639563127,10327.7628931467,10671.4953076278,11074.2233641268,11431.843831874,11455.8796055534,11639.345923079,11504.3818957447,10837.761020188,10975.5179176175,10985.2294787144,11088.7864981156,11353.8581778102,11789.7757297004,12191.4410858958,12842.4303237487,13538.8557507552,13821.0383177812,13821.2680620553,14280.6503177607,15106.7430632212,15535.4556668315,16172.1399501801,16740.4214246089,17073.6590145909,17244.7836420899,17216.8550467602,17326.7742700068,17554.6131003746,16055.3797346553,17587.2317932888,18739.1181123492,18777.4054002163
