"iso_alpha_3_code","year","deaths_hiv"
"BGR",1988,"0"
"CAN",1988,"0"
"HRV",1988,"0"
"CYP",1988,"0"
"CZE",1988,"0"
"DNK",1988,"2"
"EST",1988,"0"
"FIN",1988,"0"
"FRA",1988,"0"
"DEU",1988,"142"
"GRC",1988,"5"
"HUN",1988,"0"
"ISL",1988,"0"
"IRL",1988,"1"
"ISR",1988,"0"
"ITA",1988,"0"
"LVA",1988,"0"
"LTU",1988,"0"
"LUX",1988,"0"
"MLT",1988,"0"
"NLD",1988,"2"
"NOR",1988,"5"
"POL",1988,"0"
"PRT",1988,"11"
"ROU",1988,"5"
"SRB",1988,"4"
"SVK",1988,"0"
"SVN",1988,"0"
"ESP",1988,"236"
"SWE",1988,"0"
"CHE",1988,"59"
"TUR",1988,"0"
"GBR",1988,"0"
"USA",1988,"0"
"03M49WLD",1989,"51965"
"AFG",1989,"1"
"AUS",1989,"19"
"BGD",1989,"0"
"BTN",1989,"0"
"BRN",1989,"0"
"KHM",1989,"0"
"CHN",1989,"0"
"PRK",1989,"0"
"FJI",1989,"0"
"IND",1989,"0"
"IDN",1989,"0"
"JPN",1989,"1"
"LAO",1989,"0"
"MYS",1989,"1"
"MDV",1989,"0"
"MNG",1989,"0"
"MMR",1989,"0"
"NPL",1989,"0"
"NZL",1989,"4"
"PAK",1989,"0"
"PNG",1989,"0"
"PHL",1989,"0"
"KOR",1989,"0"
"SGP",1989,"0"
"LKA",1989,"0"
"THA",1989,"13"
"TLS",1989,"1"
"VNM",1989,"0"
"BHS",1989,"0"
"BRB",1989,"0"
"BLZ",1989,"0"
"CUB",1989,"15"
"DOM",1989,"62"
"GUY",1989,"1"
"HTI",1989,"448"
"JAM",1989,"45"
"SUR",1989,"4"
"TTO",1989,"10"
"AGO",1989,"75"
"BWA",1989,"118"
"COM",1989,"0"
"ERI",1989,"71"
"SWZ",1989,"4"
"ETH",1989,"1978"
"KEN",1989,"2228"
"LSO",1989,"41"
"MDG",1989,"0"
"MWI",1989,"3724"
"MUS",1989,"0"
"MOZ",1989,"426"
"NAM",1989,"66"
"RWA",1989,"484"
"ZAF",1989,"834"
"SSD",1989,"144"
"UGA",1989,"10982"
"TZA",1989,"3121"
"ZMB",1989,"2353"
"ZWE",1989,"3693"
"ALB",1989,"0"
"ARM",1989,"0"
"AZE",1989,"0"
"BLR",1989,"0"
"BIH",1989,"0"
"GEO",1989,"0"
"KAZ",1989,"1"
"KGZ",1989,"0"
"MNE",1989,"0"
"MKD",1989,"0"
"MDA",1989,"0"
"RUS",1989,"0"
"TJK",1989,"0"
"TKM",1989,"0"
"UKR",1989,"2"
"UZB",1989,"12"
"ARG",1989,"24"
"BOL",1989,"7"
"BRA",1989,"0"
"CHL",1989,"0"
"COL",1989,"41"
"CRI",1989,"17"
"ECU",1989,"4"
"SLV",1989,"2"
"GTM",1989,"4"
"HND",1989,"105"
"MEX",1989,"271"
"NIC",1989,"1"
"PAN",1989,"20"
"PRY",1989,"1"
"PER",1989,"148"
"URY",1989,"5"
"VEN",1989,"264"
"DZA",1989,"3"
"BHR",1989,"0"
"DJI",1989,"0"
"EGY",1989,"0"
"IRN",1989,"11"
"JOR",1989,"1"
"KWT",1989,"0"
"LBN",1989,"1"
"LBY",1989,"0"
"MAR",1989,"28"
"OMN",1989,"0"
"QAT",1989,"0"
"SAU",1989,"1"
"SOM",1989,"8"
"SDN",1989,"5"
"SYR",1989,"0"
"TUN",1989,"1"
"ARE",1989,"0"
"YEM",1989,"12"
"IRQ",1989,"0"
"BEN",1989,"158"
"BFA",1989,"947"
"BDI",1989,"705"
"CMR",1989,"286"
"CPV",1989,"2"
"CAF",1989,"163"
"TCD",1989,"174"
"COG",1989,"290"
"CIV",1989,"1421"
"COD",1989,"4367"
"GNQ",1989,"12"
"GAB",1989,"40"
"GMB",1989,"3"
"GHA",1989,"656"
"GIN",1989,"120"
"GNB",1989,"6"
"LBR",1989,"72"
"MLI",1989,"302"
"MRT",1989,"4"
"NER",1989,"32"
"NGA",1989,"1856"
"SEN",1989,"42"
"SLE",1989,"89"
"TGO",1989,"432"
"STP",1989,"2"
"AUT",1989,"0"
"BEL",1989,"0"
"BGR",1989,"0"
"CAN",1989,"0"
"HRV",1989,"0"
