"iso_alpha_3_code","UNICEF_Sub_Region_Name","UNICEF_Region_Name","UNPD_Region","UNPD_Sub_Region","UNPD_More_Developed","UNPD_Less_Developed","UNPD_Least_Developed","UNPD_Land_Locked_Developing","UNPD_Small_Island_Developing","SDG_Region","SDG_Sub_Region","World_Bank_Region","World_Bank_Income","UNFPA_Region","WHO_Region"
"CUB","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"CYP","Western Europe","Europe and Central Asia","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Europe & Central Asia","High income","non-UNFPA","Europe"
"CZE","Western Europe","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"DEU","Western Europe","Europe and Central Asia","Europe","Western Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"DJI","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Eastern Africa","Middle East & North Africa","Lower middle income","Arab States","Eastern Mediterranean"
"DMA","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"DNK","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"DOM","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"DZA","Middle East and North Africa","Middle East and North Africa","Africa","Northern Africa",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Northern Africa","Middle East & North Africa","Lower middle income","Arab States","Africa"
"ECU","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","South America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"EGY","Middle East and North Africa","Middle East and North Africa","Africa","Northern Africa",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Northern Africa","Middle East & North Africa","Lower middle income","Arab States","Eastern Mediterranean"
"ERI","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
"ESP","Western Europe","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"EST","Western Europe","Europe and Central Asia","Europe","Northern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Northern Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"ETH","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
