"","TimePeriod","Value","Percentile","GeoAreaCode","Nature","Indicator","Time_Detail"
"171",2008,793.603819489228,0.9,98101,"E","3.1.1","Calendar year"
"172",2009,582.125717174082,0.1,98101,"E","3.1.1","Calendar year"
"173",2009,661.76695291558,0.5,98101,"E","3.1.1","Calendar year"
"174",2009,778.016162396472,0.9,98101,"E","3.1.1","Calendar year"
"175",2010,565.941323357819,0.1,98101,"E","3.1.1","Calendar year"
"176",2010,645.47048840227,0.5,98101,"E","3.1.1","Calendar year"
"177",2010,764.22598422277,0.9,98101,"E","3.1.1","Calendar year"
"178",2011,552.343003962859,0.1,98101,"E","3.1.1","Calendar year"
"179",2011,631.897054591806,0.5,98101,"E","3.1.1","Calendar year"
"180",2011,758.966701243672,0.9,98101,"E","3.1.1","Calendar year"
"181",2012,538.941947589912,0.1,98101,"E","3.1.1","Calendar year"
"182",2012,620.614371154399,0.5,98101,"E","3.1.1","Calendar year"
"183",2012,752.407278347537,0.9,98101,"E","3.1.1","Calendar year"
"184",2013,527.584447895477,0.1,98101,"E","3.1.1","Calendar year"
"185",2013,610.898626736486,0.5,98101,"E","3.1.1","Calendar year"
"186",2013,750.949039430025,0.9,98101,"E","3.1.1","Calendar year"
"187",2014,514.414534203846,0.1,98101,"E","3.1.1","Calendar year"
"188",2014,598.800520841644,0.5,98101,"E","3.1.1","Calendar year"
"189",2014,746.997074669524,0.9,98101,"E","3.1.1","Calendar year"
"190",2015,500.574573581901,0.1,98101,"E","3.1.1","Calendar year"
"191",2015,586.367113362593,0.5,98101,"E","3.1.1","Calendar year"
"192",2015,742.062746187314,0.9,98101,"E","3.1.1","Calendar year"
"193",2016,487.266794643541,0.1,98101,"E","3.1.1","Calendar year"
"194",2016,574.949526894063,0.5,98101,"E","3.1.1","Calendar year"
"195",2016,737.976782447828,0.9,98101,"E","3.1.1","Calendar year"
"196",2017,475.91422990373,0.1,98101,"E","3.1.1","Calendar year"
"197",2017,564.924952371365,0.5,98101,"E","3.1.1","Calendar year"
"198",2017,738.405978183163,0.9,98101,"E","3.1.1","Calendar year"
"199",1985,966.695922490145,0.1,98102,"E","3.1.1","Calendar year"
"200",1985,1128.45661764978,0.5,98102,"E","3.1.1","Calendar year"
"201",1985,1367.76105085836,0.9,98102,"E","3.1.1","Calendar year"
"202",1986,953.326820887307,0.1,98102,"E","3.1.1","Calendar year"
"203",1986,1106.644363202,0.5,98102,"E","3.1.1","Calendar year"
"204",1986,1326.41238762317,0.9,98102,"E","3.1.1","Calendar year"
"205",1987,944.453378273603,0.1,98102,"E","3.1.1","Calendar year"
"206",1987,1089.83030112417,0.5,98102,"E","3.1.1","Calendar year"
"207",1987,1295.66580603854,0.9,98102,"E","3.1.1","Calendar year"
"208",1988,934.322974032587,0.1,98102,"E","3.1.1","Calendar year"
"209",1988,1070.33037810833,0.5,98102,"E","3.1.1","Calendar year"
"210",1988,1260.58752015148,0.9,98102,"E","3.1.1","Calendar year"
"211",1989,939.600110814794,0.1,98102,"E","3.1.1","Calendar year"
"212",1989,1073.27076424931,0.5,98102,"E","3.1.1","Calendar year"
"213",1989,1256.9240126308,0.9,98102,"E","3.1.1","Calendar year"
"214",1990,951.783394830661,0.1,98102,"E","3.1.1","Calendar year"
"215",1990,1085.09487734143,0.5,98102,"E","3.1.1","Calendar year"
"216",1990,1262.23119735327,0.9,98102,"E","3.1.1","Calendar year"
"217",1991,921.846398160807,0.1,98102,"E","3.1.1","Calendar year"
"218",1991,1043.73541595587,0.5,98102,"E","3.1.1","Calendar year"
"219",1991,1207.60072244215,0.9,98102,"E","3.1.1","Calendar year"
"220",1992,913.443642747996,0.1,98102,"E","3.1.1","Calendar year"
"221",1992,1028.96781649175,0.5,98102,"E","3.1.1","Calendar year"
"222",1992,1181.21492902497,0.9,98102,"E","3.1.1","Calendar year"
"223",1993,903.603198773838,0.1,98102,"E","3.1.1","Calendar year"
"224",1993,1013.06396310998,0.5,98102,"E","3.1.1","Calendar year"
"225",1993,1159.3708129438,0.9,98102,"E","3.1.1","Calendar year"
"226",1994,893.57000037669,0.1,98102,"E","3.1.1","Calendar year"
"227",1994,995.396298640387,0.5,98102,"E","3.1.1","Calendar year"
"228",1994,1136.26736108184,0.9,98102,"E","3.1.1","Calendar year"
"229",1995,876.418510057185,0.1,98102,"E","3.1.1","Calendar year"
"230",1995,973.282173190983,0.5,98102,"E","3.1.1","Calendar year"
"231",1995,1103.36338670424,0.9,98102,"E","3.1.1","Calendar year"
"232",1996,863.099448897533,0.1,98102,"E","3.1.1","Calendar year"
"233",1996,953.845185888124,0.5,98102,"E","3.1.1","Calendar year"
"234",1996,1077.98088077829,0.9,98102,"E","3.1.1","Calendar year"
"235",1997,852.403553173642,0.1,98102,"E","3.1.1","Calendar year"
"236",1997,936.687753376764,0.5,98102,"E","3.1.1","Calendar year"
"237",1997,1056.16517847514,0.9,98102,"E","3.1.1","Calendar year"
"238",1998,836.193735418165,0.1,98102,"E","3.1.1","Calendar year"
"239",1998,916.442373777348,0.5,98102,"E","3.1.1","Calendar year"
"240",1998,1029.01383225286,0.9,98102,"E","3.1.1","Calendar year"
"241",1999,831.124147803695,0.1,98102,"E","3.1.1","Calendar year"
"242",1999,909.11278935635,0.5,98102,"E","3.1.1","Calendar year"
"243",1999,1018.96942013305,0.9,98102,"E","3.1.1","Calendar year"
"244",2000,816.575387440659,0.1,98102,"E","3.1.1","Calendar year"
"245",2000,892.861462547717,0.5,98102,"E","3.1.1","Calendar year"
"246",2000,997.275195709117,0.9,98102,"E","3.1.1","Calendar year"
"247",2001,790.262883153291,0.1,98102,"E","3.1.1","Calendar year"
"248",2001,861.654331798535,0.5,98102,"E","3.1.1","Calendar year"
"249",2001,958.980197814581,0.9,98102,"E","3.1.1","Calendar year"
"250",2002,775.091525694888,0.1,98102,"E","3.1.1","Calendar year"
"251",2002,842.623248126144,0.5,98102,"E","3.1.1","Calendar year"
"252",2002,934.885028436085,0.9,98102,"E","3.1.1","Calendar year"
"253",2003,758.00475274581,0.1,98102,"E","3.1.1","Calendar year"
"254",2003,821.291171401154,0.5,98102,"E","3.1.1","Calendar year"
"255",2003,909.529882080862,0.9,98102,"E","3.1.1","Calendar year"
"256",2004,730.379517211673,0.1,98102,"E","3.1.1","Calendar year"
"257",2004,788.807891808456,0.5,98102,"E","3.1.1","Calendar year"
"258",2004,873.280799652352,0.9,98102,"E","3.1.1","Calendar year"
"259",2005,691.612158594783,0.1,98102,"E","3.1.1","Calendar year"
"260",2005,746.043586764975,0.5,98102,"E","3.1.1","Calendar year"
"261",2005,828.485974642654,0.9,98102,"E","3.1.1","Calendar year"
"262",2006,652.877643446881,0.1,98102,"E","3.1.1","Calendar year"
"263",2006,704.602646837,0.5,98102,"E","3.1.1","Calendar year"
"264",2006,784.50445113208,0.9,98102,"E","3.1.1","Calendar year"
"265",2007,618.367223935162,0.1,98102,"E","3.1.1","Calendar year"
"266",2007,667.461288751715,0.5,98102,"E","3.1.1","Calendar year"
"267",2007,746.570541881181,0.9,98102,"E","3.1.1","Calendar year"
"268",2008,588.971334404611,0.1,98102,"E","3.1.1","Calendar year"
"269",2008,635.943880683371,0.5,98102,"E","3.1.1","Calendar year"
"270",2008,715.178879878421,0.9,98102,"E","3.1.1","Calendar year"
"271",2009,560.523147075495,0.1,98102,"E","3.1.1","Calendar year"
"272",2009,607.186626203114,0.5,98102,"E","3.1.1","Calendar year"
"273",2009,684.982796317901,0.9,98102,"E","3.1.1","Calendar year"
"274",2010,531.565072124739,0.1,98102,"E","3.1.1","Calendar year"
"275",2010,578.262932046047,0.5,98102,"E","3.1.1","Calendar year"
"276",2010,656.533829714812,0.9,98102,"E","3.1.1","Calendar year"
"277",2011,506.41967265579,0.1,98102,"E","3.1.1","Calendar year"
"278",2011,552.129411313069,0.5,98102,"E","3.1.1","Calendar year"
"279",2011,631.03239066383,0.9,98102,"E","3.1.1","Calendar year"
"280",2012,486.334183592244,0.1,98102,"E","3.1.1","Calendar year"
"281",2012,531.508515387233,0.5,98102,"E","3.1.1","Calendar year"
"282",2012,611.947498478665,0.9,98102,"E","3.1.1","Calendar year"
"283",2013,467.313992957624,0.1,98102,"E","3.1.1","Calendar year"
"284",2013,512.815277121152,0.5,98102,"E","3.1.1","Calendar year"
"285",2013,595.37110684035,0.9,98102,"E","3.1.1","Calendar year"
"286",2014,452.780144653448,0.1,98102,"E","3.1.1","Calendar year"
"287",2014,498.696672206734,0.5,98102,"E","3.1.1","Calendar year"
"288",2014,584.611229529911,0.9,98102,"E","3.1.1","Calendar year"
"289",2015,436.194501581651,0.1,98102,"E","3.1.1","Calendar year"
"290",2015,481.814910542823,0.5,98102,"E","3.1.1","Calendar year"
"291",2015,569.814311683872,0.9,98102,"E","3.1.1","Calendar year"
"292",2016,423.276672828444,0.1,98102,"E","3.1.1","Calendar year"
"293",2016,468.946789647927,0.5,98102,"E","3.1.1","Calendar year"
"294",2016,561.104360632109,0.9,98102,"E","3.1.1","Calendar year"
"295",2017,410.51944037844,0.1,98102,"E","3.1.1","Calendar year"
"296",2017,455.757884471074,0.5,98102,"E","3.1.1","Calendar year"
"297",2017,551.848201009779,0.9,98102,"E","3.1.1","Calendar year"
"298",1985,315.154306745311,0.1,98103,"E","3.1.1","Calendar year"
"299",1985,374.899706482184,0.5,98103,"E","3.1.1","Calendar year"
"300",1985,469.044321301465,0.9,98103,"E","3.1.1","Calendar year"
"301",1986,301.171281053144,0.1,98103,"E","3.1.1","Calendar year"
"302",1986,357.109594291433,0.5,98103,"E","3.1.1","Calendar year"
"303",1986,444.325036769524,0.9,98103,"E","3.1.1","Calendar year"
"304",1987,291.494278582673,0.1,98103,"E","3.1.1","Calendar year"
"305",1987,345.348987245301,0.5,98103,"E","3.1.1","Calendar year"
"306",1987,426.465921037976,0.9,98103,"E","3.1.1","Calendar year"
"307",1988,281.150668276792,0.1,98103,"E","3.1.1","Calendar year"
"308",1988,332.582459167985,0.5,98103,"E","3.1.1","Calendar year"
"309",1988,409.523494492813,0.9,98103,"E","3.1.1","Calendar year"
"310",1989,283.263181477698,0.1,98103,"E","3.1.1","Calendar year"
"311",1989,335.344369054064,0.5,98103,"E","3.1.1","Calendar year"
"312",1989,412.516264463936,0.9,98103,"E","3.1.1","Calendar year"
"313",1990,274.794909561347,0.1,98103,"E","3.1.1","Calendar year"
"314",1990,324.320859616826,0.5,98103,"E","3.1.1","Calendar year"
"315",1990,396.207110393472,0.9,98103,"E","3.1.1","Calendar year"
"316",1991,267.743435326003,0.1,98103,"E","3.1.1","Calendar year"
"317",1991,314.731500171876,0.5,98103,"E","3.1.1","Calendar year"
"318",1991,383.539169624666,0.9,98103,"E","3.1.1","Calendar year"
"319",1992,262.069163741784,0.1,98103,"E","3.1.1","Calendar year"
"320",1992,308.138677596794,0.5,98103,"E","3.1.1","Calendar year"
"321",1992,374.525345090384,0.9,98103,"E","3.1.1","Calendar year"
"322",1993,258.769454828467,0.1,98103,"E","3.1.1","Calendar year"
"323",1993,304.658893504206,0.5,98103,"E","3.1.1","Calendar year"
"324",1993,369.666364259175,0.9,98103,"E","3.1.1","Calendar year"
"325",1994,251.629976829563,0.1,98103,"E","3.1.1","Calendar year"
"326",1994,295.56195213916,0.5,98103,"E","3.1.1","Calendar year"
"327",1994,356.960439910596,0.9,98103,"E","3.1.1","Calendar year"
"328",1995,247.657938022893,0.1,98103,"E","3.1.1","Calendar year"
"329",1995,290.156279180959,0.5,98103,"E","3.1.1","Calendar year"
"330",1995,349.647280408047,0.9,98103,"E","3.1.1","Calendar year"
"331",1996,245.719708802488,0.1,98103,"E","3.1.1","Calendar year"
"332",1996,287.613941227338,0.5,98103,"E","3.1.1","Calendar year"
"333",1996,345.670356288084,0.9,98103,"E","3.1.1","Calendar year"
"334",1997,245.85836429857,0.1,98103,"E","3.1.1","Calendar year"
"335",1997,286.851669824271,0.5,98103,"E","3.1.1","Calendar year"
"336",1997,343.681722892116,0.9,98103,"E","3.1.1","Calendar year"
"337",1998,240.901531786345,0.1,98103,"E","3.1.1","Calendar year"
"338",1998,280.400148624526,0.5,98103,"E","3.1.1","Calendar year"
"339",1998,334.634168497144,0.9,98103,"E","3.1.1","Calendar year"
"340",1999,228.879094541323,0.1,98103,"E","3.1.1","Calendar year"
"341",1999,265.042676009111,0.5,98103,"E","3.1.1","Calendar year"
"342",1999,314.698390239447,0.9,98103,"E","3.1.1","Calendar year"
"343",2000,222.968402962573,0.1,98103,"E","3.1.1","Calendar year"
"344",2000,257.443150512762,0.5,98103,"E","3.1.1","Calendar year"
"345",2000,305.45507114879,0.9,98103,"E","3.1.1","Calendar year"
"346",2001,218.263329106621,0.1,98103,"E","3.1.1","Calendar year"
"347",2001,250.480726872714,0.5,98103,"E","3.1.1","Calendar year"
"348",2001,295.866673573614,0.9,98103,"E","3.1.1","Calendar year"
"349",2002,210.050548175409,0.1,98103,"E","3.1.1","Calendar year"
"350",2002,240.178942878097,0.5,98103,"E","3.1.1","Calendar year"
"351",2002,282.315318084589,0.9,98103,"E","3.1.1","Calendar year"
"352",2003,205.316331755098,0.1,98103,"E","3.1.1","Calendar year"
"353",2003,233.611188694736,0.5,98103,"E","3.1.1","Calendar year"
"354",2003,273.680063206142,0.9,98103,"E","3.1.1","Calendar year"
"355",2004,198.218917493667,0.1,98103,"E","3.1.1","Calendar year"
"356",2004,224.712022055709,0.5,98103,"E","3.1.1","Calendar year"
"357",2004,262.821948431062,0.9,98103,"E","3.1.1","Calendar year"
"358",2005,184.425640279214,0.1,98103,"E","3.1.1","Calendar year"
"359",2005,207.981778920883,0.5,98103,"E","3.1.1","Calendar year"
"360",2005,241.803116463521,0.9,98103,"E","3.1.1","Calendar year"
"361",2006,176.188592773122,0.1,98103,"E","3.1.1","Calendar year"
"362",2006,198.634253218016,0.5,98103,"E","3.1.1","Calendar year"
"363",2006,230.486450701058,0.9,98103,"E","3.1.1","Calendar year"
"364",2007,165.779410738476,0.1,98103,"E","3.1.1","Calendar year"
"365",2007,187.094644839855,0.5,98103,"E","3.1.1","Calendar year"
"366",2007,217.45586596308,0.9,98103,"E","3.1.1","Calendar year"
"367",2008,157.186821985479,0.1,98103,"E","3.1.1","Calendar year"
"368",2008,177.64556148683,0.5,98103,"E","3.1.1","Calendar year"
"369",2008,207.428954999966,0.9,98103,"E","3.1.1","Calendar year"
"370",2009,149.228208582896,0.1,98103,"E","3.1.1","Calendar year"
"371",2009,169.398458330597,0.5,98103,"E","3.1.1","Calendar year"
"372",2009,199.095884651489,0.9,98103,"E","3.1.1","Calendar year"
"373",2010,141.021158153222,0.1,98103,"E","3.1.1","Calendar year"
"374",2010,160.792562190066,0.5,98103,"E","3.1.1","Calendar year"
"375",2010,190.376559939224,0.9,98103,"E","3.1.1","Calendar year"
"376",2011,132.915506396282,0.1,98103,"E","3.1.1","Calendar year"
"377",2011,153.382885962392,0.5,98103,"E","3.1.1","Calendar year"
"378",2011,183.046353900938,0.9,98103,"E","3.1.1","Calendar year"
"379",2012,126.128806534265,0.1,98103,"E","3.1.1","Calendar year"
"380",2012,146.670047221244,0.5,98103,"E","3.1.1","Calendar year"
"381",2012,175.971199804177,0.9,98103,"E","3.1.1","Calendar year"
"382",2013,120.382265585857,0.1,98103,"E","3.1.1","Calendar year"
