"","Country","Year","List","Sex","Frmat","Cause","A00","A1_4","A05","A10","A15","A20","A25","A30","A35","A40","A45","A50","A55","A60","A65","A70","A75","A80","A85ov","tot","unk","name"
"96","2460",2020,104,2,0,"covid19",0,0,0,0,0,1,0,0,1,1,0,1,1,11,6,5,7,10,36,80,0,"Uruguay"
"97","3080",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,2,0,2,16,12,24,26,48,44,174,0,"Cyprus"
"98","3080",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,8,24,44,88,0,"Cyprus"
"99","3080",2021,104,1,0,"covid19",0,0,0,0,0,0,2,4,8,10,18,26,24,74,72,106,126,100,172,742,0,"Cyprus"
"100","3080",2021,104,2,0,"covid19",0,0,0,0,0,0,2,0,2,0,8,14,16,32,38,66,70,80,166,494,0,"Cyprus"
"101","3090",2020,104,1,1,"covid19",0,0,0,0,0,0,0,0,2,0,0,0,2,2,6,11,12,14,28,77,0,"Hong Kong SAR"
"102","3090",2020,104,2,1,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,9,11,20,48,0,"Hong Kong SAR"
"103","3090",2021,104,1,1,"covid19",0,0,0,0,0,0,0,0,0,0,1,0,4,2,8,5,9,6,8,43,0,"Hong Kong SAR"
"104","3090",2021,104,2,1,"covid19",0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,3,4,3,11,27,0,"Hong Kong SAR"
"105","3150",2020,104,1,1,"covid19",0,0,1,0,0,1,2,5,7,6,13,35,68,119,176,262,269,325,534,1823,0,"Israel"
"106","3150",2020,104,2,1,"covid19",0,0,0,0,1,0,3,2,4,8,9,23,30,44,75,113,155,214,656,1337,0,"Israel"
"107","3150",2021,104,1,1,"covid19",1,2,0,1,2,9,9,10,16,28,49,80,112,195,264,384,721,657,96,2636,0,"Israel"
"108","3150",2021,104,2,1,"covid19",1,0,0,0,1,2,4,6,11,13,33,33,56,105,199,248,616,675,161,2164,0,"Israel"
"109","3160",2020,104,1,0,"covid19",0,0,0,0,0,0,1,2,2,5,14,22,54,78,159,277,345,461,674,2094,0,"Japan"
"110","3160",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,1,3,4,2,9,21,28,76,166,235,827,1372,0,"Japan"
"111","3160",2021,104,1,0,"covid19",0,0,0,0,1,5,9,11,37,71,146,302,408,512,666,1276,1418,1788,3077,9732,5,"Japan"
"112","3160",2021,104,2,0,"covid19",0,0,0,0,1,0,2,6,9,11,32,75,92,134,231,486,760,1212,3982,7034,1,"Japan"
"113","3210",2020,104,1,0,"covid19",6,0,0,0,0,3,6,10,30,37,58,54,136,158,241,220,255,252,238,1704,0,"Lebanon"
"114","3210",2020,104,2,0,"covid19",6,0,0,0,0,4,2,4,9,9,14,26,41,64,45,99,111,151,129,714,0,"Lebanon"
"115","3210",2021,104,1,0,"covid19",18,1,1,3,6,8,12,17,39,57,79,139,219,271,338,344,346,358,375,2631,0,"Lebanon"
"116","3210",2021,104,2,0,"covid19",12,3,1,3,0,12,6,22,19,31,45,61,88,141,194,238,274,274,367,1791,0,"Lebanon"
"117","3260",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Mongolia"
"118","3260",2021,104,1,0,"covid19",6,3,0,2,1,2,2,9,19,24,41,49,87,116,122,129,115,107,81,915,0,"Mongolia"
"119","3260",2021,104,2,0,"covid19",4,0,2,3,2,0,2,9,15,20,28,51,99,148,149,135,147,139,146,1099,0,"Mongolia"
"120","3285",2020,104,1,0,"covid19",0,0,1,0,2,3,16,40,51,78,75,80,101,145,101,133,95,93,64,1078,0,"Oman"
"121","3285",2020,104,2,0,"covid19",0,0,0,0,2,4,1,13,5,15,13,23,30,57,74,69,57,36,23,422,0,"Oman"
"122","3285",2021,104,1,0,"covid19",1,1,2,3,1,6,16,70,115,157,157,185,203,174,184,132,142,140,93,1782,0,"Oman"
"123","3285",2021,104,2,0,"covid19",0,3,1,2,1,2,12,27,40,60,45,47,76,95,115,133,110,80,83,932,0,"Oman"
"124","3325",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,3,2,3,4,18,38,42,63,104,96,110,483,0,"Republic of Korea"
"125","3325",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,2,0,1,2,10,11,26,24,79,108,204,467,0,"Republic of Korea"
"126","3325",2021,104,1,0,"covid19",1,0,1,0,0,1,6,6,12,18,31,64,126,210,338,423,440,450,525,2652,0,"Republic of Korea"
"127","3325",2021,104,2,0,"covid19",0,0,1,0,0,2,0,3,8,10,19,26,44,86,154,212,269,444,1089,2367,0,"Republic of Korea"
"128","3340",2021,104,1,1,"covid19",0,0,0,1,15,23,41,59,83,119,150,223,246,353,284,237,253,231,300,2618,NA,"Saudi Arabia"
"129","3340",2021,104,2,1,"covid19",0,0,0,0,10,9,18,45,65,94,70,114,165,266,175,192,206,196,235,1860,NA,"Saudi Arabia"
"130","3340",2022,104,1,1,"covid19",0,0,1,1,3,7,8,3,11,8,7,12,16,37,49,49,63,68,126,469,NA,"Saudi Arabia"
"131","3340",2022,104,2,1,"covid19",0,0,0,0,3,4,2,5,3,6,9,10,13,18,34,40,66,59,90,362,NA,"Saudi Arabia"
"132","3350",2020,104,1,1,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,1,2,3,18,NA,"Singapore"
"133","3350",2020,104,2,1,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,7,NA,"Singapore"
"134","3350",2021,104,1,1,"covid19",0,0,0,0,0,0,0,1,1,1,1,9,26,36,47,82,65,95,118,482,0,"Singapore"
"135","3350",2021,104,2,1,"covid19",0,0,0,0,0,1,0,0,0,2,1,5,6,18,27,36,32,59,142,329,0,"Singapore"
"136","3350",2022,104,1,1,"covid19",0,1,0,0,0,1,0,0,1,4,3,11,11,35,51,58,87,114,212,589,0,"Singapore"
"137","3350",2022,104,2,1,"covid19",0,2,0,0,0,0,0,0,2,2,5,4,12,15,18,44,39,94,297,534,0,"Singapore"
"138","3405",2020,104,1,1,"covid19",0,0,0,0,0,0,0,0,0,1,23,83,140,120,71,41,35,17,24,555,0,"United Arab Emirates"
"139","3405",2020,104,2,1,"covid19",0,0,0,0,0,0,0,0,2,3,4,12,9,13,10,15,11,13,20,112,0,"United Arab Emirates"
"140","4007",2020,104,1,1,"covid19",0,0,0,0,0,0,4,3,11,20,40,72,157,264,351,346,201,361,169,1999,0,"Armenia"
"141","4007",2020,104,2,1,"covid19",0,0,0,0,1,1,2,4,9,12,31,54,119,212,240,245,148,280,184,1542,0,"Armenia"
"142","4007",2021,104,1,1,"covid19",0,0,0,0,0,1,5,8,15,33,44,78,167,311,427,449,301,476,283,2598,0,"Armenia"
"143","4007",2021,104,2,1,"covid19",0,0,0,0,0,2,6,6,9,27,43,103,181,297,442,515,287,508,370,2796,0,"Armenia"
"144","4007",2022,104,1,1,"covid19",1,0,0,0,1,0,0,1,2,5,8,14,23,29,70,78,53,111,95,491,0,"Armenia"
