"iso_alpha_3_code","year_mid","year_start","year_end","final_pm","obs_selogpm","citation_short","include","type","definition"
"PER",1988.25,1984.75,1991.75,0.108508248702006,0.160275049,"DHS 1991-1992",TRUE,"dhs","pregn"
"PER",2000.416667,1996.916667,2003.916667,0.139851089623994,0.126323073,"DHS 2003-2006",TRUE,"dhs","pregn"
"PER",2007.666667,2004.166667,2011.166667,0.136828988365136,0.192812131,"DHS 2011",TRUE,"dhs","pregn"
"PHL",1989.87,1986.37,1993.37,0.127814793584823,0.152221073,"DHS 1993",TRUE,"dhs","pregn"
"PHL",2003.897,2000.397,2007.397,0.096185172,NA,"FPS 2006",TRUE,"dhs","pregn"
"RWA",1997.992,1995.492,2000.492,0.182795118203633,0.083751948,"DHS 2000",TRUE,"dhs","pregn"
"RWA",2001.845,1998.345,2005.345,0.180135036245559,0.080237727,"DHS 2005",TRUE,"dhs","pregn"
"RWA",2007.462,2003.962,2010.962,0.229501669272816,0.088130284,"DHS 2010",TRUE,"dhs","pregn"
"RWA",2012.766,2010.266,2015.266,0.132474146282877,0.168656641,"DHS 2014-2015",TRUE,"dhs","pregn"
"STP",2005.435,2001.935,2008.935,0.0690522667511355,0.413407664,"DHS 2008-2009",TRUE,"dhs","pregn"
"STP",2010.962,2007.462,2014.462,0.0808334700456222,1.202133456,"MICS 2014",TRUE,"dhs","pregn"
"SEN",1989.551,1986.051,1993.051,0.310506419846536,0.115500734,"DHS 1992-1993",TRUE,"dhs","pregn"
"SEN",2001.762,1998.262,2005.262,0.2210351036599,0.109419326,"DHS 2005",TRUE,"dhs","pregn"
"SEN",2014.5,2011,2018,0.277337630325177,0.107105498,"DHS 2017",TRUE,"dhs","pregn"
"SEN",2007.25,2003.75,2010.75,0.246360540064875,0.12087304,"DHS 2010-2011",TRUE,"dhs","pregn"
"SLE",2004.897,2001.397,2008.397,0.257199930975395,0.129670929,"DHS 2008",TRUE,"dhs","pregn"
"SLE",2010.121,2006.621,2013.621,0.352541302638496,0.072948248,"DHS 2013",TRUE,"dhs","pregn"
"ZAF",1994.886,1991.386,1998.386,0.0518174997380689,0.249416905,"DHS 1998",TRUE,"dhs","pregn"
"ZAF",2012.916667,2009.416667,2016.416667,0.0762546483803049,0.243575311,"DHS 2016",TRUE,"dhs","pregn"
"SDN",1983.129,1976.129,1990.129,0.330943258,NA,"DHS 1989-1990",TRUE,"dhs","pregn"
"SWZ",2003.33,1999.83,2006.83,0.0542341981686709,0.165281565,"DHS 2006-2007",TRUE,"dhs","pregn"
"TZA",1993.218,1989.718,1996.718,0.260298514210155,0.106247831,"DHS 1996",TRUE,"dhs","pregn"
"TZA",2001.445,1997.945,2004.945,0.167388202220887,0.094870891,"DHS 2004-2005",TRUE,"dhs","pregn"
"TZA",2006.679,2003.179,2010.179,0.170491502026399,0.118061573,"DHS 2010",TRUE,"dhs","pregn"
"TZA",2011.121,2006.121,2016.121,0.201853891038408,0.083238804,"DHS 2015-2016",TRUE,"dhs","pregn"
"TLS",2006.354,2002.854,2009.854,0.405867140132624,0.09246374,"DHS 2009-2010",TRUE,"dhs","pregn"
"TLS",2013.475,2009.975,2016.975,0.124570452326455,0.220478531,"DHS 2016",TRUE,"dhs","pregn"
"TGO",1994.742,1991.242,1998.242,0.195861662604112,0.128006284,"DHS 1998",TRUE,"dhs","pregn"
"TGO",2010.786,2007.286,2014.286,0.130947136291044,0.131483052,"DHS 2013-2014",TRUE,"dhs","pregn"
"UGA",1991.924,1988.424,1995.424,0.143187586883385,0.109806916,"DHS 1995",TRUE,"dhs","pregn"
"UGA",1997.455,1993.955,2000.955,0.140294992906604,0.096225305,"DHS 2000-2001",TRUE,"dhs","pregn"
"UGA",2003.051,1999.551,2006.551,0.11463675292234,0.126378845,"DHS 2006",TRUE,"dhs","pregn"
"UGA",2008.205,2004.705,2011.705,0.174970270037974,0.117148629,"DHS 2011",TRUE,"dhs","pregn"
"UGA",2013.459,2009.959,2016.959,0.184507752394101,0.082306355,"DHS 2016",TRUE,"dhs","pregn"
"YEM",1992.9,1987.9,1997.9,0.382404141,NA,"DHS 1997",TRUE,"dhs","pregn"
"ZMB",1993.275,1989.775,1996.775,0.125690759302785,0.09856621,"DHS 1996",TRUE,"dhs","pregn"
"ZMB",1998.621,1995.121,2002.121,0.100471306170717,0.095271049,"DHS 2001-2002",TRUE,"dhs","pregn"
"ZMB",2004.037,2000.537,2007.537,0.0890015100101191,0.115851468,"DHS 2007",TRUE,"dhs","pregn"
"ZMB",2010.453,2006.953,2013.953,0.0909427441192688,0.09381373,"DHS 2013-2014",TRUE,"dhs","pregn"
"ZMB",2015,2011.5,2018.5,0.104327444938901,0.157513691,"DHS 2018-2019",TRUE,"dhs","pregn"
"ZWE",1991.229,1987.729,1994.729,0.142596239546959,0.148419839,"DHS 1994",TRUE,"dhs","pregn"
"ZWE",1996.268,1992.768,1999.768,0.109173248478303,0.1270555,"DHS 1999",TRUE,"dhs","pregn"
"ZWE",2002.372,1998.872,2005.872,0.065115505006184,0.126671157,"DHS 2005-2006",TRUE,"dhs","pregn"
"ZWE",2007.486,2003.986,2010.986,0.111143576002841,0.093827953,"DHS 2010-2011",TRUE,"dhs","pregn"
"ZWE",2010.705,2007.205,2014.205,0.0870539907925115,0.083437775,"MICS 2014",TRUE,"dhs","pregn"
"ZWE",2012.47,2008.97,2015.97,0.119619525154715,0.120239894,"DHS 2015",TRUE,"dhs","pregn"
"ZWE",2015.513441,2012.013441,2019.013441,0.0878056961529563,0.14014356,"MICS 2019",TRUE,"dhs","pregn"
"GMB",2016.333333,2012.833333,2019.833333,0.176796504661513,0.130343458,"DHS 2019-2020",TRUE,"dhs","pregn"
"LBR",2016.25,2012.75,2019.75,0.270639964957966,0.130635539,"DHS 2019-2020",TRUE,"dhs","pregn"
"MRT",2016.333333,2012.833333,2019.833333,0.317853591919701,0.107209296,"DHS 2019-2020",TRUE,"dhs","pregn"
"RWA",2016.333333,2012.833333,2019.833333,0.17754189779803,0.129012605,"DHS 2019-2020",TRUE,"dhs","pregn"
"SLE",2015.833333,2012.333333,2019.333333,0.239621593905374,0.092408272,"DHS 2019",TRUE,"dhs","pregn"
"PAK",2019.41665,2019.0833,2019.75,0.182,NA,"DHS Special 2019",TRUE,"dhs","pregn"
"MOZ",2019.495,2019,2019.99,0.0552268244575937,NA,"COMSA",TRUE,"dhs","pregn"
"MOZ",2020.495,2020,2020.99,0.0774006075815612,NA,"COMSA",TRUE,"dhs","pregn"
"SAU",2018.334,2017.834,2018.834,0.01263987,NA,"Household Health Survey 2018",TRUE,"dhs","pregn"
"BFA",2018,2014.5,2021.5,0.185441732365596,0.130208061,"DHS 2021",TRUE,"dhs","pregn"
"CIV",2018.166667,2014.666667,2021.666667,0.176751778359956,0.135774378920749,"DHS 2018-2019",TRUE,"dhs","pregn"
"GAB",2016.5,2013,2020,0.154407109419553,0.201329175,"DHS 2018-2019",TRUE,"dhs","pregn"
"KHM",2018.166667,2014.666667,2021.666667,0.0994964732729215,0.260043606337673,"DHS 2018-2019",TRUE,"dhs","pregn"
"TZA",2018.666667,2015.166667,2022.166667,0.0564286749270311,0.220719258042738,"DHS 2018-2019",TRUE,"dhs","pregn"
"MOZ",2019,2015.5,2022.5,0.1128266827163,0.000758634,"DHS 2022-2023",TRUE,"dhs","pregn"
"SEN",2019.583333,2016.083333,2023.083333,0.149397396473008,0.027372872,"DHS 2023",TRUE,"dhs","pregn"
