"iso_alpha_3_code","year_start","year_end","allcause_1549_vr","allcause_1549_wpp","completeness","usability","ratio_vr/wpp"
"PRI",1991,1992,1163,1092,1,0.967418546365915,1.06501831501832
"PRI",1992,1993,1194,1140,1,0.993299832495812,1.04736842105263
"PRI",1993,1994,1266,1143,1,0.995260663507109,1.10761154855643
"PRI",1994,1995,1292,1150,1,0.996904024767802,1.12347826086957
"PRI",1995,1996,1337,1152,1,0.99775617053104,1.16059027777778
"PRI",1996,1997,1416,1153,1,0.997881355932203,1.22810060711188
"PRI",1997,1998,1136,1104,1,0.994718309859155,1.02898550724638
"PRI",1998,1999,1157,1088,1,0.993085566119274,1.06341911764706
"PRI",1999,2000,1077,1067,1,0.994428969359331,1.00937207122774
"PRI",2000,2001,1051,1056,1,0.9895337773549,0.995265151515151
"PRI",2001,2002,1021,1000,1,0.990205680705191,1.021
"PRI",2002,2003,968,933,1,0.986570247933884,1.03751339764202
"PRI",2003,2004,930,925,1,0.987096774193548,1.00540540540541
"PRI",2004,2005,972,917,1,0.993827160493827,1.05997818974918
"PRI",2005,2006,907,908,1,0.992282249173098,0.998898678414097
"PRI",2006,2007,881,826,1,0.99205448354143,1.06658595641646
"PRI",2007,2008,875,786,1,0.992,1.11323155216285
"PRI",2008,2009,883,755,1,0.989807474518686,1.16953642384106
"PRI",2009,2010,879,705,1,0.9806598407281,1.2468085106383
"PRI",2010,2011,791,674,1,0.975979772439949,1.17359050445104
"PRI",2011,2012,825,639,1,0.985454545454545,1.29107981220657
"PRI",2012,2013,692,600,1,0.997109826589595,1.15333333333333
"PRI",2013,2014,722,536,1,0.96814404432133,1.34701492537313
"PRI",2014,2015,741,510,1,0.931174089068826,1.45294117647059
"PRI",2015,2016,635,459,1,0.900787401574803,1.38344226579521
"PRI",2016,2017,679,446,1,0.920471281296024,1.52242152466368
"PRI",2017,2018,652,659,1,0.907975460122699,0.98937784522003
"PRI",2021,2022,655,652,1,0.975572519083969,1.00460122699387
"PRI",2022,2023,641,640,1,0.985959438377535,1.0015625
"KNA",1985,1986,14,28,0.5,0.565217391304348,0.5
"KNA",1986,1987,17,28,0.607142857142857,0.586206896551724,0.607142857142857
"KNA",1987,1988,20,30,0.666666666666667,0.645161290322581,0.666666666666667
"KNA",1988,1989,17,31,0.548387096774194,0.708333333333333,0.548387096774194
"KNA",1989,1990,28,32,0.875,0.717948717948718,0.875
"KNA",1990,1991,24,31,0.774193548387097,0.685714285714286,0.774193548387097
"KNA",1991,1992,20,30,0.666666666666667,0.714285714285714,0.666666666666667
"KNA",1992,1993,14,29,0.482758620689655,0.65,0.482758620689655
"KNA",1993,1994,20,27,0.740740740740741,0.666666666666667,0.740740740740741
"KNA",1994,1995,21,26,0.807692307692308,0.65625,0.807692307692308
"KNA",1995,1996,15,27,0.555555555555556,0.714285714285714,0.555555555555556
"KNA",1998,1999,19,29,0.655172413793103,0.76,0.655172413793103
"KNA",1999,2000,20,26,0.769230769230769,0.740740740740741,0.769230769230769
"KNA",2000,2001,19,24,0.791666666666667,0.791666666666667,0.791666666666667
"KNA",2001,2002,17,23,0.739130434782609,0.85,0.739130434782609
"KNA",2002,2003,21,21,1,0.84,1
"KNA",2003,2004,18,21,0.857142857142857,0.857142857142857,0.857142857142857
"KNA",2004,2005,14,20,0.7,0.823529411764706,0.7
"KNA",2005,2006,17,20,0.85,0.739130434782609,0.85
"KNA",2006,2007,11,20,0.55,0.846153846153846,0.55
"KNA",2007,2008,14,20,0.7,0.875,0.7
"KNA",2008,2009,24,20,1,0.857142857142857,1.2
"KNA",2009,2010,20,20,1,1,1
"KNA",2010,2011,15,20,1,1,0.75
"KNA",2011,2012,28,20,1,1,1.4
"KNA",2012,2013,24,20,1,1,1.2
"KNA",2013,2014,17,19,1,1,0.894736842105263
"KNA",2014,2015,17,19,1,1,0.894736842105263
"KNA",2015,2016,12,18,0.666666666666667,1,0.666666666666667
"KNA",2016,2017,27,18,1,1,1.5
"LCA",1986,1987,56,44,1,0.916666666666667,1.27272727272727
"LCA",1987,1988,45,55,0.818181818181818,0.977777777777778,0.818181818181818
"LCA",1988,1989,45,59,0.76271186440678,0.956521739130435,0.76271186440678
"LCA",1989,1990,66,57,1,0.864864864864865,1.15789473684211
"LCA",1990,1991,57,64,0.890625,0.903225806451613,0.890625
"LCA",1991,1992,53,64,0.828125,0.912280701754386,0.828125
"LCA",1992,1993,50,54,0.925925925925926,0.890909090909091,0.925925925925926
"LCA",1993,1994,44,55,0.8,0.895833333333333,0.8
"LCA",1994,1995,61,57,1,0.893939393939394,1.07017543859649
"LCA",1995,1996,53,57,0.929824561403509,0.838709677419355,0.929824561403509
"LCA",1996,1997,59,70,0.842857142857143,0.819444444444444,0.842857142857143
"LCA",1997,1998,56,85,0.658823529411765,0.753424657534246,0.658823529411765
"LCA",1998,1999,58,86,0.674418604651163,0.695121951219512,0.674418604651163
"LCA",1999,2000,63,83,0.759036144578313,0.617021276595745,0.759036144578313
"LCA",2000,2001,46,78,0.58974358974359,0.698412698412698,0.58974358974359
"LCA",2001,2002,41,66,0.621212121212121,0.8,0.621212121212121
"LCA",2002,2003,61,58,1,0.791666666666667,1.05172413793103
"LCA",2003,2004,61,53,1,0.892307692307692,1.15094339622642
"LCA",2004,2005,50,52,1,0.98,0.961538461538462
"LCA",2005,2006,50,52,1,0.94,0.961538461538462
"LCA",2006,2007,48,50,0.96,0.895833333333333,0.96
"LCA",2008,2009,58,53,1,0.948275862068966,1.09433962264151
"LCA",2009,2010,56,50,1,1,1.12
"LCA",2010,2011,57,57,1,0.947368421052632,1
"LCA",2011,2012,77,60,1,1,1.28333333333333
"LCA",2012,2013,67,61,1,1,1.09836065573771
"LCA",2013,2014,64,61,1,0.984375,1.04918032786885
"LCA",2014,2015,68,58,1,0.985294117647059,1.17241379310345
"LCA",2015,2016,51,56,1,1,0.910714285714286
"LCA",2016,2017,61,58,1,0.983606557377049,1.05172413793103
"LCA",2017,2018,53,56,0.946428571428571,0.981132075471698,0.946428571428571
"LCA",2018,2019,57,55,1,1,1.03636363636364
"LCA",2019,2020,59,57,1,1,1.03508771929825
"LCA",2020,2021,60,56,1,1,1.07142857142857
"VCT",1985,1986,37,35,1,0.925,1.05714285714286
"VCT",1986,1987,28,33,0.848484848484849,0.933333333333333,0.848484848484849
"VCT",1987,1988,27,33,0.818181818181818,0.896551724137931,0.818181818181818
"VCT",1990,1991,36,37,0.972972972972973,0.945945945945946,0.972972972972973
"VCT",1995,1996,56,50,1,1,1.12
"VCT",1996,1997,58,52,1,1,1.11538461538462
"VCT",1997,1998,52,54,1,1,0.962962962962963
"VCT",1998,1999,56,55,1,0.982142857142857,1.01818181818182
"VCT",1999,2000,55,54,1,0.981818181818182,1.01851851851852
"VCT",2000,2001,52,52,1,0.980769230769231,1
"VCT",2001,2002,49,51,0.96078431372549,0.941176470588235,0.96078431372549
"VCT",2002,2003,52,51,1,1,1.01960784313725
"VCT",2003,2004,39,50,0.78,0.951219512195122,0.78
"VCT",2004,2005,58,49,1,0.878787878787879,1.18367346938776
"VCT",2005,2006,37,49,0.755102040816326,0.902439024390244,0.755102040816326
"VCT",2006,2007,31,49,0.63265306122449,1,0.63265306122449
"VCT",2007,2008,55,49,1,0.932203389830508,1.12244897959184
"VCT",2008,2009,63,50,1,0.940298507462687,1.26
"VCT",2009,2010,44,50,0.88,0.977777777777778,0.88
"VCT",2010,2011,41,52,0.788461538461538,0.976190476190476,0.788461538461538
"VCT",2011,2012,40,52,0.769230769230769,0.930232558139535,0.769230769230769
"VCT",2012,2013,59,54,1,0.934426229508197,1.09259259259259
"VCT",2013,2014,66,64,1,0.970149253731343,1.03125
"VCT",2014,2015,59,56,1,1,1.05357142857143
"VCT",2015,2016,49,52,1,0.979591836734694,0.942307692307692
"VCT",2016,2017,49,46,1,0.938775510204082,1.06521739130435
"VCT",2017,2018,60,52,1,0.983333333333333,1.15384615384615
"VCT",2018,2019,44,50,1,0.931818181818182,0.88
"VCT",2019,2020,49,51,0.96078431372549,0.98,0.96078431372549
"VCT",2020,2021,50,47,1,0.943396226415094,1.06382978723404
"VCT",2021,2022,56,65,0.861538461538462,0.948275862068966,0.861538461538462
"SUR",1985,1986,136,291,0.467353951890034,0.391304347826087,0.467353951890034
"SUR",1986,1987,125,295,0.423728813559322,0.372937293729373,0.423728813559322
"SUR",1987,1988,113,300,0.376666666666667,0.394422310756972,0.376666666666667
"SUR",1988,1989,116,303,0.382838283828383,0.438461538461538,0.382838283828383
"SUR",1989,1990,183,307,0.596091205211726,0.433583959899749,0.596091205211726
"SUR",1990,1991,137,306,0.447712418300654,0.446735395189003,0.447712418300654
