"iso3","whoname","sex","year","age","pop","nLx","lx","deaths","crisis_deaths"
"LKA","Sri Lanka",2,2008,45,658885,472316.799200553,95020.4977862625,1554.42210089325,128.506720628515
"LKA","Sri Lanka",2,2008,50,596482,465219.579148075,93906.2218939588,2211.21409728189,129.572143118826
"LKA","Sri Lanka",2,2008,55,517039,454843.448969042,92181.6097652714,2757.55067176059,118.634636461574
"LKA","Sri Lanka",2,2008,60,436206,439238.079738805,89755.7698223454,3789.96360931145,112.336901171117
"LKA","Sri Lanka",2,2008,65,291579,414006.704523201,85939.4620731766,4420.26770196612,90.6194373921301
"LKA","Sri Lanka",2,2008,70,199117,371441.335702336,79663.2197361039,5762.65661958033,62.9132300252114
"LKA","Sri Lanka",2,2008,75,150348,309089.383955977,68913.3145448303,6902.75972425784,54.2569232908726
"LKA","Sri Lanka",2,2008,80,95926,230541.337477212,54722.4390375606,7168.54537578019,44.2105487229588
"LKA","Sri Lanka",2,2008,85,55736,196352.377831739,37494.0959533243,9902.16649756262,35.6219834080003
"LKA","Sri Lanka",2,2009,0,175914,99159.9695302764,1e+05,1655.83305833955,123.308120502342
"LKA","Sri Lanka",2,2009,1,708956,395889.276909541,99066.6328114182,281.493611057068,239.269569398508
"LKA","Sri Lanka",2,2009,5,845547,493733.735946389,98909.4435046967,557.253318531292,228.535515764621
"LKA","Sri Lanka",2,2009,10,799388,491766.41321023,98584.050873859,750.247883291768,199.996789031807
"LKA","Sri Lanka",2,2009,15,815218,489459.99182378,98122.5144102331,767.870031058456,280.832331058456
"LKA","Sri Lanka",2,2009,20,822992,486996.599170697,97661.4823192788,886.074475005908,273.027075005908
"LKA","Sri Lanka",2,2009,25,851903,484412.094252445,97137.1573489998,895.982960259592,211.930060259592
"LKA","Sri Lanka",2,2009,30,807152,481819.367101436,96627.680351978,883.867719179001,208.815519179001
"LKA","Sri Lanka",2,2009,35,702488,478958.932549254,96100.0664885964,904.30711692304,169.25021692304
"LKA","Sri Lanka",2,2009,40,687194,475492.994450659,95483.5065311051,1112.55570331409,145.480903314093
"LKA","Sri Lanka",2,2009,45,660277,470705.337593145,94713.6912491585,1606.48392413022,153.371924130224
"LKA","Sri Lanka",2,2009,50,614558,463682.005602328,93568.4437880995,2205.55670290262,158.398702902618
"LKA","Sri Lanka",2,2009,55,525425,452885.739042927,91904.3584528316,3079.58318240182,143.356182401821
"LKA","Sri Lanka",2,2009,60,463353,437220.759824604,89249.9371643391,3827.43028872511,141.145288725113
"LKA","Sri Lanka",2,2009,65,309323,411982.668060467,85638.3667655025,4868.03758630345,113.669586303447
"LKA","Sri Lanka",2,2009,70,198873,366786.436178079,79154.7004586843,6286.75897574114,74.2779757411418
"LKA","Sri Lanka",2,2009,75,152341,302054.724071697,67559.8740125471,7211.11067758477,65.5576775847677
"LKA","Sri Lanka",2,2009,80,101574,225591.983547855,53262.0156161316,7333.41614188632,55.8531418863252
"LKA","Sri Lanka",2,2009,85,58071,208742.19602013,36974.7778030102,9372.374103231,43.6521032310003
"LKA","Sri Lanka",2,2010,0,173516,99179.0967679945,1e+05,1595.76463014247,97.0657620719327
"LKA","Sri Lanka",2,2010,1,709803,395985.661188817,99087.8852977717,273.266127102683,228.471445955081
"LKA","Sri Lanka",2,2010,5,859765,494275.253635766,98935.435296826,279.649199657198,184.721667037357
"LKA","Sri Lanka",2,2010,10,802991,493448.606320923,98774.6661574803,276.462366855041,160.389126035366
"LKA","Sri Lanka",2,2010,15,815301,491627.999847091,98604.7763708889,925.955394592037,224.685294592037
"LKA","Sri Lanka",2,2010,20,812595,488426.196647393,98046.4235679475,1201.80493295921,215.425032959209
"LKA","Sri Lanka",2,2010,25,840131,485102.755284396,97324.0550910096,1051.25417211224,166.913572112241
"LKA","Sri Lanka",2,2010,30,822880,482178.788557682,96717.047022749,960.089302572059,169.784902572059
"LKA","Sri Lanka",2,2010,35,709846,479124.990902829,96154.4684003236,976.250966051921,136.927666051921
"LKA","Sri Lanka",2,2010,40,683649,475634.755453969,95495.5279608079,1059.54077459169,116.177374591691
"LKA","Sri Lanka",2,2010,45,661347,470914.107112927,94758.3742207798,1616.60103478807,123.026034788066
"LKA","Sri Lanka",2,2010,50,627213,463894.124207515,93607.2686243909,2240.21251092226,129.399510922258
"LKA","Sri Lanka",2,2010,55,537074,453624.957790768,91950.381058615,2901.62535930973,117.553359309726
"LKA","Sri Lanka",2,2010,60,486511,438131.897126448,89499.6020576924,4160.13270017584,118.575700175844
"LKA","Sri Lanka",2,2010,65,332036,413640.313406283,85753.1567928868,4856.58730977075,97.7543097707552
"LKA","Sri Lanka",2,2010,70,201327,369218.682249548,79702.9685696262,6389.82630986647,60.3883098664691
"LKA","Sri Lanka",2,2010,75,152690,303885.644786306,67984.5043301929,7242.81758334986,53.0485833498557
"LKA","Sri Lanka",2,2010,80,106595,226708.278522333,53569.7535843296,7737.4686025646,47.5066025645949
"LKA","Sri Lanka",2,2010,85,60155,200992.330705612,37113.5578246034,10244.2769974688,35.34499746878
"LKA","Sri Lanka",2,2011,0,171722,99210.3440579408,1e+05,1518.67337994404,0.58261787968061
"LKA","Sri Lanka",2,2011,1,704076,396134.874356782,99122.6045088231,263.304439972999,2.6344727515844
"LKA","Sri Lanka",2,2011,5,868367,494494.944207581,98974.4613094436,265.069648636166,2.48843062925169
"LKA","Sri Lanka",2,2011,10,807960,493735.316879402,98823.5163735888,250.218940864381,2.48920626592882
"LKA","Sri Lanka",2,2011,15,807913,492654.201288587,98670.6103781721,458.423360773348,2.17736077334852
"LKA","Sri Lanka",2,2011,20,802954,491113.78284565,98391.0701372627,550.373691421784,2.07799142178418
"LKA","Sri Lanka",2,2011,25,829232,489499.694658,98054.4430009972,523.472107838061,2.19100783806097
